name,price,url
Le Vian Diamond & Ruby Ring 1/20 ct tw Diamonds 14K Vanilla Gold,1499,https://www.kay.com/le-vian-diamond-ruby-ring-120-ct-tw-diamonds-14k-vanilla-gold/p/V-910466705
Wedding Band 10K Yellow Gold 6mm,1299,https://www.kay.com/wedding-band-10k-yellow-gold-6mm/p/V-244115200
Now + Forever Brushed Wedding Band 10K White Gold 8mm,1099,https://www.kay.com/now-forever-brushed-wedding-band-10k-white-gold-8mm/p/V-252005006
Wedding Band 14K Rose Gold 4mm,1199,https://www.kay.com/wedding-band-14k-rose-gold-4mm/p/V-244139109
THE LEO First Light Diamond Engagement Ring 7/8 ct tw 14K Rose Gold,4399,https://www.kay.com/the-leo-first-light-diamond-engagement-ring-78-ct-tw-14k-rose-gold/p/V-993719210
Emerald-Cut Diamond Engagement Ring 1-1/4 ct tw 14K White Gold,1549,https://www.kay.com/emeraldcut-diamond-engagement-ring-114-ct-tw-14k-white-gold/p/V-522234501
Create your own Bridal Set,2903,https://www.kay.com/create-your-own-bridal-set/p/V-bridalsetqsku
Create your own Engagement Ring,2078,https://www.kay.com/create-your-own-engagement-ring/p/V-bridalqsku
Now + Forever Oval-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K White Gold (I/I1),16999,https://www.kay.com/now-forever-ovalcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-white-gold-ii1/p/V-823229303
Now + Forever Princess-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Yellow Gold (I/I2),3999,https://www.kay.com/now-forever-princesscut-diamond-solitaire-engagement-ring-1-ct-tw-14k-yellow-gold-ii2/p/V-431997004
Now + Forever Black Diamond Solitaire Ring 2 ct tw 14K White Gold,1499,https://www.kay.com/now-forever-black-diamond-solitaire-ring-2-ct-tw-14k-white-gold/p/V-423355801
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Rose Gold (I/I2),12999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-2-ct-tw-14k-rose-gold-ii2/p/V-161492006
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Yellow Gold (I/I2),12999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-2-ct-tw-14k-yellow-gold-ii2/p/V-161491903
Now + Forever Heart-Shaped Diamond Solitaire Engagement Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-heartshaped-diamond-solitaire-engagement-ring-12-ct-tw-14k-rose-gold-ii2/p/V-161491600
Now + Forever Marquise-Cut Diamond Solitaire Engagement Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-marquisecut-diamond-solitaire-engagement-ring-12-ct-tw-14k-rose-gold-ii2/p/V-161491408
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 1-1/2 ct tw 14K Rose Gold (I/I2),7999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-112-ct-tw-14k-rose-gold-ii2/p/V-161491004
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 1-1/2 ct tw 14K Yellow Gold (I/I2),7999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-112-ct-tw-14k-yellow-gold-ii2/p/V-161490901
Now + Forever Marquise-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Rose Gold (I/I2),3999,https://www.kay.com/now-forever-marquisecut-diamond-solitaire-engagement-ring-1-ct-tw-14k-rose-gold-ii2/p/V-161490800
Now + Forever Princess-Cut Diamond Solitaire Engagement Ring 3/4 ct tw 14K Rose Gold (I/I2),2099,https://www.kay.com/now-forever-princesscut-diamond-solitaire-engagement-ring-34-ct-tw-14k-rose-gold-ii2/p/V-161490608
Now + Forever Diamond Solitaire Ring 1/2 carat Heart-shaped 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-heartshaped-14k-white-gold-ii2/p/V-161433406
Now + Forever Diamond Solitaire Engagement Ring 1 ct tw Princess-cut 14K Rose Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-engagement-ring-1-ct-tw-princesscut-14k-rose-gold-ii2/p/V-161310103
Now + Forever Certified Diamond Solitaire 2 ct Princess-cut 14K White Gold (I/I2),12999,https://www.kay.com/now-forever-certified-diamond-solitaire-2-ct-princesscut-14k-white-gold-ii2/p/V-161298904
Now + Forever Diamond Solitaire Ring 1 Carat Princess-Cut 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-princesscut-14k-white-gold-ii2/p/V-161290200
Diamond Solitaire Ring 3/4 Carat Princess-Cut 14K White Gold (I/I2),1199,https://www.kay.com/diamond-solitaire-ring-34-carat-princesscut-14k-white-gold-ii2/p/V-161290109
Now + Forever Diamond Solitaire Ring 1 carat Marquise 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-marquise-14k-white-gold-ii2/p/V-161233604
Now + Forever Diamond Solitaire Ring 1/2 carat Marquise 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-ring-12-carat-marquise-14k-white-gold-ii2/p/V-161233301
Now + Forever Round-Cut Black Diamond Solitaire Ring 2 ct tw 14K Yellow Gold (I3),1499,https://www.kay.com/now-forever-roundcut-black-diamond-solitaire-ring-2-ct-tw-14k-yellow-gold-i3/p/V-151309109
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 3 ct tw 14K Rose Gold (I/I2),22999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-3-ct-tw-14k-rose-gold-ii2/p/V-151299207
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 3 ct tw 14K Yellow Gold (I/I2),22999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-3-ct-tw-14k-yellow-gold-ii2/p/V-151299106
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Rose Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-rose-gold-ii2/p/V-151298801
Now + Forever Certified Round-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Yellow Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-yellow-gold-ii2/p/V-151298700
Now + Forever Round-Cut Diamond Solitaire Engagement Ring 3/4 ct tw 14K Rose Gold (I/I2),2099,https://www.kay.com/now-forever-roundcut-diamond-solitaire-engagement-ring-34-ct-tw-14k-rose-gold-ii2/p/V-151298407
Now + Forever Diamond Solitaire Hearts Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-hearts-ring-12-ct-tw-14k-rose-gold-ii2/p/V-151280803
Now + Forever Diamond Solitaire Hearts Ring 1/2 ct tw 14K Yellow Gold (I/I2),1699,https://www.kay.com/now-forever-diamond-solitaire-hearts-ring-12-ct-tw-14k-yellow-gold-ii2/p/V-151280702
Now + Forever Round-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Yellow Gold (I/I2),3999,https://www.kay.com/now-forever-roundcut-diamond-solitaire-engagement-ring-1-ct-tw-14k-yellow-gold-ii2/p/V-151233006
Now + Forever Diamond Solitaire Ring 1 Carat Round-cut 14K White Gold (I/I2),3999,https://www.kay.com/now-forever-diamond-solitaire-ring-1-carat-roundcut-14k-white-gold-ii2/p/V-151232903
Diamond Solitaire Engagement Ring 1 ct tw Round-cut 10K White Gold (J/I3),1159,https://www.kay.com/diamond-solitaire-engagement-ring-1-ct-tw-roundcut-10k-white-gold-ji3/p/V-151191804
Now + Forever Certified Round Diamond Solitaire Engagement Ring 3 ct tw 14K White Gold (I/I2),16099,https://www.kay.com/now-forever-certified-round-diamond-solitaire-engagement-ring-3-ct-tw-14k-white-gold-ii2/p/V-151151901
Solitaire Engagement Ring 1/2 Carat Diamond 14K Rose Gold (I/I2),1019,https://www.kay.com/solitaire-engagement-ring-12-carat-diamond-14k-rose-gold-ii2/p/V-151141708
Now + Forever Certified Diamond Ring 1-1/2 carats Round-cut 14K White Gold (I/I1),9999,https://www.kay.com/now-forever-certified-diamond-ring-112-carats-roundcut-14k-white-gold-ii1/p/V-151140807
Now + Forever Solitaire Engagement Ring 1/2 Carat Diamond 14K White Gold (I/I2),1699,https://www.kay.com/now-forever-solitaire-engagement-ring-12-carat-diamond-14k-white-gold-ii2/p/V-151093008
Now + Forever Certified Round-cut Diamond Engagement Ring 2 ct tw 14K White Gold (I/I2),12999,https://www.kay.com/now-forever-certified-roundcut-diamond-engagement-ring-2-ct-tw-14k-white-gold-ii2/p/V-150894400
Now + Forever Certified Diamond Round-cut Ring 1 carat 14K White Gold (I/I1),5499,https://www.kay.com/now-forever-certified-diamond-roundcut-ring-1-carat-14k-white-gold-ii1/p/V-150884702
Now + Forever Certified Diamond Round-Cut Solitaire Engagement Ring 1-1/2 carats 14K White Gold (I/I2),7999,https://www.kay.com/now-forever-certified-diamond-roundcut-solitaire-engagement-ring-112-carats-14k-white-gold-ii2/p/V-150882607
