name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
THE LEO First Light Diamond Round-Cut Cushion Halo Bridal Set 7/8 ct tw 14K White Gold,2499,https://www.kay.com/the-leo-first-light-diamond-roundcut-cushion-halo-bridal-set-78-ct-tw-14k-white-gold/p/V-823234600,Diamond,,,,7/8,Gold,White,14K,,Kay Jewellers
Now + Forever Diamond Enhancer Ring 1 ct tw 14K White Gold,1899,https://www.kay.com/now-forever-diamond-enhancer-ring-1-ct-tw-14k-white-gold/p/V-762205300,Diamond,Round,I2,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO Ideal Cut Diamond Three-Stone Engagement Ring 1 ct tw 14K White Gold,2799,https://www.kay.com/the-leo-ideal-cut-diamond-threestone-engagement-ring-1-ct-tw-14k-white-gold/p/V-555583804,Diamond,Round,I1,I,1,Gold,White,14K,7.0,Kay Jewellers
THE LEO Diamond Enhancer Ring 3/4 ct tw Round-cut 14K White Gold,1799,https://www.kay.com/the-leo-diamond-enhancer-ring-34-ct-tw-roundcut-14k-white-gold/p/V-731440501,Diamond,Round,SI2,I,3/4,Gold,White,14K,7.0,Kay Jewellers
"Now + Forever Marquise-Cut Blue Sapphire, Baguette & Round-Cut Diamond Anniversary Ring 1-1/5 ct tw 14K White Gold",2899,https://www.kay.com/now-forever-marquisecut-blue-sapphire-baguette-roundcut-diamond-anniversary-ring-115-ct-tw-14k-white-gold/p/V-534027204,Diamond,Round,I2,I,1-1/5,Gold,White,14K,7.0,Kay Jewellers
THE LEO Diamond Princess-Cut Three-Stone Engagement Ring 7/8 ct tw 14K White Gold,1999,https://www.kay.com/the-leo-diamond-princesscut-threestone-engagement-ring-78-ct-tw-14k-white-gold/p/V-380980906,Lab-Grown Diamond,Princess-Cut,SI2,I,7/8,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Baguette-Cut Blue Sapphire & Diamond Anniversary Ring 1/2 ct tw 14K White Gold,1699,https://www.kay.com/now-forever-baguettecut-blue-sapphire-diamond-anniversary-ring-12-ct-tw-14k-white-gold/p/V-534027002,Sapphire,Baguette,I2,Blue,1/2,Gold,White,14K,7.0,Kay Jewellers
Le Vian Oval-Cut Blue Topaz & Diamond Ring 3/8 ct tw 14K Strawberry Gold,1199,https://www.kay.com/le-vian-ovalcut-blue-topaz-diamond-ring-38-ct-tw-14k-strawberry-gold/p/V-238547400,Topaz,Oval,SI2,Blue,3/8,Gold,Rose,14K,7.0,Kay Jewellers
Le Vian Blue Sapphire Ring 1/3 ct tw Diamonds 14K Strawberry Gold,1499,https://www.kay.com/le-vian-blue-sapphire-ring-13-ct-tw-diamonds-14k-strawberry-gold/p/V-135813703,Sapphire,Round,SI2,Blue,1/3,Gold,Rose,14K,7.0,Kay Jewellers
Le Vian Diamond & Ruby Ring 1/20 ct tw Diamonds 14K Vanilla Gold,1499,https://www.kay.com/le-vian-diamond-ruby-ring-120-ct-tw-diamonds-14k-vanilla-gold/p/V-910466705,Ruby,Round,SI2,Red,1/20,Gold,White,14K,7.0,Kay Jewellers
Wedding Band 10K Yellow Gold 6mm,1299,https://www.kay.com/wedding-band-10k-yellow-gold-6mm/p/V-244115200,No Stone,,,,,Gold,Yellow,10K,10.0,Kay Jewellers
Now + Forever Brushed Wedding Band 10K White Gold 8mm,1099,https://www.kay.com/now-forever-brushed-wedding-band-10k-white-gold-8mm/p/V-252005006,No Stone,,,,,Gold,White,10K,10.0,Kay Jewellers
THE LEO First Light Diamond Engagement Ring 7/8 ct tw 14K Rose Gold,4399,https://www.kay.com/the-leo-first-light-diamond-engagement-ring-78-ct-tw-14k-rose-gold/p/V-993719210,Diamond,Round,I1,I,7/8,Gold,Rose,14K,7.0,Kay Jewellers
Wedding Band 14K Rose Gold 4mm,1199,https://www.kay.com/wedding-band-14k-rose-gold-4mm/p/V-244139109,No Stone,,,,,Gold,Rose,14K,10.0,Kay Jewellers
Emerald-Cut Diamond Engagement Ring 1-1/4 ct tw 14K White Gold,1549,https://www.kay.com/emeraldcut-diamond-engagement-ring-114-ct-tw-14k-white-gold/p/V-522234501,Diamond,Emerald,I1,I,1-1/4,Gold,White,14K,7.0,Kay Jewellers
Create your own Engagement Ring,2078,https://www.kay.com/create-your-own-engagement-ring/p/V-bridalqsku,,,,,,,,,,Kay Jewellers
Create your own Bridal Set,2903,https://www.kay.com/create-your-own-bridal-set/p/V-bridalsetqsku,,,,,,,,,,Kay Jewellers
Now + Forever Oval-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K White Gold (I/I1),16999,https://www.kay.com/now-forever-ovalcut-diamond-solitaire-engagement-ring-2-ct-tw-14k-white-gold-ii1/p/V-823229303,Diamond,Oval,I1,I,2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Black Diamond Solitaire Ring 2 ct tw 14K White Gold,1499,https://www.kay.com/now-forever-black-diamond-solitaire-ring-2-ct-tw-14k-white-gold/p/V-423355801,Diamond,Round,I3,Fancy,2,Gold,White,14K,7.0,Kay Jewellers
Now + Forever Princess-Cut Diamond Solitaire Engagement Ring 1 ct tw 14K Yellow Gold (I/I2),3999,https://www.kay.com/now-forever-princesscut-diamond-solitaire-engagement-ring-1-ct-tw-14k-yellow-gold-ii2/p/V-431997004,Diamond,Princess-Cut,I2,I,1,Gold,Yellow,14K,7.0,Kay Jewellers
Now + Forever Certified Princess-Cut Diamond Solitaire Engagement Ring 2 ct tw 14K Rose Gold (I/I2),12999,https://www.kay.com/now-forever-certified-princesscut-diamond-solitaire-engagement-ring-2-ct-tw-14k-rose-gold-ii2/p/V-161492006,Diamond,Princess-Cut,I2,I,2,Gold,Rose,14K,7.0,Kay Jewellers
Now + Forever Heart-Shaped Diamond Solitaire Engagement Ring 1/2 ct tw 14K Rose Gold (I/I2),1699,https://www.kay.com/now-forever-heartshaped-diamond-solitaire-engagement-ring-12-ct-tw-14k-rose-gold-ii2/p/V-161491600,Diamond,Heart-Cut,I2,I,1/2,Gold,Rose,14K,7.0,Kay Jewellers
