name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,source
GLAMIRA Bracelet Bertilde,"$9,352.00",https://www.glamira.com/glamira-bracelet-bertilde.html,Diamond,Round,VS,H,1.05,Gold,Rose & White,14K,,Glamira
Women's Bracelet Beleuchtung,"$9,072.00",https://www.glamira.com/womens-bracelet-beleuchtung.html,Yellow Sapphire,Round,AAA,Yellow,3.6,Gold,White,14K,,Glamira
GLAMIRA Bangle Anemone,"$8,929.00",https://www.glamira.com/glamira-bangle-anemone.html,Diamond,Round,VS,H,0.96,Gold,Yellow,18K,,Glamira
GLAMIRA Bracelet Marjorie,"$8,711.00",https://www.glamira.com/glamira-bracelet-marjorie.html,Diamond,Cushion,VS,H,0.11,Gold,Rose,18K,,Glamira
GLAMIRA Bangle Kinslee,"$8,816.00",https://www.glamira.com/glamira-bangle-kinslee.html,Diamond,Princess,VS,H,0.192,Gold,White,18K,,Glamira
GLAMIRA Bracelet Tera,"$8,535.00",https://www.glamira.com/glamira-bracelet-tera.html,Diamond,Oval,VS,H,1.08,Gold,White,18K,,Glamira
GLAMIRA Bracelet Regin,"$8,689.00",https://www.glamira.com/glamira-bracelet-regin.html,Diamond,Baguette,VS,H,0.6,Gold,White,14K,,Glamira
GLAMIRA Bracelet Houri,"$8,533.00",https://www.glamira.com/glamira-bracelet-houri.html,Diamond,Princess - Round,VS,H,1.11,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Alica,"$8,530.00",https://www.glamira.com/glamira-bracelet-alica.html,Diamond,Round,VS,H,3.64,Gold,White,14K,,Glamira
GLAMIRA Bracelet Selvy,"$8,084.00",https://www.glamira.com/glamira-bracelet-selvy.html,Diamond,Round,VS,H,2.1,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Schipper,"$8,004.00",https://www.glamira.com/glamira-bracelet-schipper.html,Diamond,Baguette,VS,H,2.64,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Calanthia,"$8,281.00",https://www.glamira.com/glamira-bracelet-calanthia.html,Diamond,Round,VS,H,1.1,Gold,Yellow,18K,,Glamira
GLAMIRA Bracelet Brandenk,"$7,974.00",https://www.glamira.com/glamira-bracelet-brandenk.html,Lab Grown Diamond,Princess,VS,H,9,Gold,White,14K,,Glamira
GLAMIRA Bracelet Slowking,"$7,911.00",https://www.glamira.com/glamira-bracelet-slowking.html,Sapphire,Heart,AA,Dark Blue,6.16,Platinum,950,,,Glamira
GLAMIRA Bracelet Chau,"$7,912.00",https://www.glamira.com/glamira-bracelet-chau.html,Lab Grown Diamond,Emerald,VS,H,5.58,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Aiguebelette,"$7,909.00",https://www.glamira.com/glamira-bracelet-aiguebelette.html,Diamond,Heart,VS,H,0.26,Gold,White,14K,,Glamira
GLAMIRA Bracelet Bistup,"$7,905.00",https://www.glamira.com/glamira-bracelet-bistup.html,Diamond,Princess,VS,H,0.48,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Harpul,"$7,892.00",https://www.glamira.com/glamira-bracelet-harpul.html,Zirconia,Round,AAAAA,White,2.125,Gold,White,14K,,Glamira
GLAMIRA Bracelet Headatist,"$7,841.00",https://www.glamira.com/glamira-bracelet-headatist.html,Zirconia,Round,AAAAA,White,0.27,Gold,White,14K,,Glamira
GLAMIRA Bracelet Preoriandy,"$7,814.00",https://www.glamira.com/glamira-bracelet-preoriandy.html,Zirconia,Round,AAAAA,White,1.89,Gold,White,14K,,Glamira
GLAMIRA Bangle Appariscente,"$7,818.00",https://www.glamira.com/glamira-bangle-appariscente.html,Lab Grown Diamond,Baguette,VS,H,2.18,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Marleenuh,"$7,788.00",https://www.glamira.com/glamira-bracelet-marleenuh.html,Diamond,Round,VS,H,0.96,Platinum,950,,,Glamira
GLAMIRA Bracelet Steedulatic,"$7,578.00",https://www.glamira.com/glamira-bracelet-steedulatic.html,Yellow Diamond,Round,VS1,Fancy Yellow,1.42,Gold,Yellow,18K,,Glamira
GLAMIRA Bangle Bettyann,"$7,578.00",https://www.glamira.com/glamira-bangle-bettyann.html,Diamond,Round,VS,H,1.92,Gold,White,18K,,Glamira
GLAMIRA Bracelet Hastei,"$7,553.00",https://www.glamira.com/glamira-bracelet-hastei.html,Zirconia,Round,AAAAA,White,2.035,Gold,White,14K,,Glamira
GLAMIRA Bracelet Aileen,"$7,431.00",https://www.glamira.com/glamira-bracelet-aileen.html,Diamond,Trillion,VS,H,1.4,Gold,Yellow,14K,,Glamira
GLAMIRA Bracelet Strizzes,"$7,362.00",https://www.glamira.com/glamira-bracelet-strizzes.html,Zirconia,Round,AAAAA,White,3.28,Gold,White,14K,,Glamira
